"name","n","IFmean","IFse","CTmean","CTse"
"UCL",2953,11.6244856407044,0.320734819865575,18.6473620047409,2.45296478064933
"Michigan State",2784,12.5779881368534,0.30571411310472,20.7244576149425,1.83900072228308
"UW Madison",2764,13.9463719569465,0.347257628761477,23.1318885672938,2.08971354741338
"VU Amsterdam",2758,7.2030716555475,0.187789261285888,8.57434735315446,0.369289366627143
"ETH Zurich",2757,3.78541390351832,0.118144026133142,4.66316285817918,0.232877279230223
"U Penn",2738,21.4557199506939,0.417740918677991,36.9685390796202,1.66534969698897
"Turin",2693,4.90524953100631,0.149088673613467,6.00046787968808,0.354658322537467
"Princeton",2663,18.6738812459632,0.413807299664171,46.0677506571536,3.84227959789047
"Sciences Po",2641,6.14274727224536,0.265395609885685,8.48848163574404,0.573753584785393
"Groningen",2628,7.16998887709285,0.183343855293939,12.1740410958904,0.765919636015282
"UIUC",2430,8.99645784197531,0.244520553636096,11.3964650205761,0.792134309011629
"Leuven",2381,6.95959285258295,0.2230241366892,10.1926669466611,0.530870998838299
"Bologna",2355,8.86312147176221,0.219550244104394,8.69391507430998,0.424617560491827
"Warwick",2335,15.2812865708779,0.359929082636539,16.338573875803,0.746695412632787
"U Michigan",2309,18.9317719276743,0.41472494682367,24.7719185794716,1.30278146488304
"U Amsterdam",2290,8.17513115633188,0.22907346050483,10.2800655021834,0.655730380013775
"Maryland",2245,16.9061867652561,0.417404644299054,24.3868151447661,1.70270730172273
"FU Brussels",2190,7.92784025068493,0.282993226253688,10.8890867579909,0.769126379337126
"UBC",2178,17.0429758452709,0.423981677545089,25.5051147842057,1.4966793367735
"Purdue",2177,7.83938967845659,0.242330188809922,12.9428341754708,0.932645828694795
"Toronto",2167,18.2954801592063,0.442370806622352,20.5624596215967,1.08287575383165
"UC Davis",2147,14.9792680544946,0.39632505198154,24.3371588262692,1.58443044022359
"Ohio State",2120,17.4621365042453,0.479339967926396,23.4883113207547,1.31774570173497
"U Melbourne",2116,8.85874461531191,0.276473946929973,8.64265122873346,0.476463356170303
"Duke",2107,19.0488287261509,0.446841470796825,33.4352634076887,3.15889221100534
"Aarhus",2083,8.81339907825252,0.242979850513854,14.0967498799808,0.990716138282904
"UNSW Sydney",2056,12.6497735321012,0.408487192119276,12.8042996108949,0.951526941303291
"York",2051,9.43161913505607,0.313379101762171,14.9175475377864,3.15047132343367
"LMU Munich",2017,5.52773097025285,0.261736977247288,7.0095240456123,0.651375033138843
"Northwestern",2010,25.6738694870647,0.521379169980778,41.034855721393,2.71971345821984
"Texas A&M",2002,10.3128060529471,0.289486339334927,11.729020979021,0.563174381529887
"U Barcelona",1988,4.11018342454728,0.117678792079123,5.5872032193159,0.276028963394837
"UCLA",1979,25.1273474370894,0.563684380541317,35.8361192521475,2.0190643556463
"U Zurich",1961,12.2507865043345,0.379155082074505,17.4557164711882,1.16071759673818
"U Conn",1913,7.39080265917407,0.253993308846228,7.98905384213278,0.665864337363532
"Aix-Marseille",1898,7.68720653055848,0.257824395844325,8.58096944151739,0.677516222628833
"HU Berlin",1825,4.71774431561644,0.204214095113051,5.52088219178082,0.401411951214868
"U Sydney",1806,9.6539355675526,0.273062505258145,14.1418549280177,1.00496381141856
"NUS",1802,11.2227223468368,0.332390714664608,15.2785571587125,0.869479738930403
"Essex",1801,11.2567228395336,0.305737204325934,10.2059466962798,0.492649752318795
"Boston U",1792,21.9211741529018,0.546969745631511,35.6537723214286,3.03088853395788
"Manchester",1790,8.94652616815642,0.251286208053442,12.8214525139665,0.858541870330315
"U Lisbon",1757,3.52379782640865,0.131288309425312,5.77217985202049,0.383379789934053
"Copenhagen",1753,9.76368955276669,0.307795102548494,21.118339988591,4.11855837361029
"Tor Vergata Rome",1726,5.90843209791425,0.200023991084806,6.9786674391657,0.844035165669296
"Georgia State",1711,10.8296653623612,0.364014829682094,14.617463471654,1.27474236290059
