"","instname","n","IFmean","IFse","CTmean","CTse"
"93","Catholic Pontifical University of Peru",577,2.00475299133449,0.215558899754975,1.69871750433276,0.243572154817766
"686","University of Auckland",575,9.1512110973913,0.383490720254761,13.8444869565217,1.95831288733782
"1081","Victoria University",575,5.06143305043478,0.266469269231442,6.50873043478261,1.18452619201536
"1115","York University",574,16.5554436672474,0.685871251468825,13.108362369338,1.23554795022927
"633","Temple University",569,11.5906429332162,0.570559217458608,12.9096133567663,1.40153657471922
"212","Einaudi Institute for Economics and Finance",568,12.3546044982394,0.669544340429039,22.7953169014085,3.15303199437927
"702","University of Bochum",566,2.69564134275618,0.208496670590848,4.7443816254417,0.648117549544339
"918","University of Oregon",565,18.3446794336283,0.708052592216218,21.8747787610619,1.70616817301567
"84","California Institute of Technology",564,22.4580885815603,1.07889198036202,20.7012411347518,1.68664176126942
"682","University of Antwerp",564,4.04809458865248,0.228025627021509,6.33909574468085,0.655358540817643
"754","University of Delhi",561,6.07938005347594,0.374271059047773,6.05445632798574,0.6151405861494
"467","Network for Studies on Pensions, Aging and Retirement (NetSPAR)",560,2.49782912142857,0.168731346765356,3.42657142857143,0.385721720806514
"234","Federico II University of Naples",558,2.61271283691756,0.170197148211537,2.56460573476702,0.293476483289268
"389","Loughborough University",557,7.2710076481149,0.311737670982436,7.17109515260323,0.619457417890516
"1031","University of Trento",553,5.12230414647378,0.261255418441997,5.97264014466546,0.531596446475748
"800","University of Heidelberg",548,9.62511511313869,0.464569928979245,15.2777372262774,1.59967259314841
"241","Fordham University",547,11.0367271023766,0.606355976017686,7.99204753199269,0.937744613819499
"869","University of Massachusetts-Amherst",547,8.192312511883,0.535166588892381,10.987915904936,1.32821817083341
"257","Georgia Institute of Technology",542,13.9657863431734,0.709178837511407,20.1573985239852,1.80068893634913
"986","University of St. Andrews",539,7.91997814100185,0.54248287157176,8.57254174397032,0.993495794253612
"312","Institute des Hautes Études Internationales et du Développement",538,12.0039858959108,0.663384409255669,21.7622676579926,2.02802664042629
"894","University of National and World Economy",538,0.358450955390335,0.0637076393727126,0.539014869888476,0.106478841503121
"61","Birkbeck College",537,11.0878032811918,0.563101878382388,13.9566108007449,2.95513458394665
"805","University of Houston",537,15.2241316573557,0.775796626725905,21.233147113594,3.19861836751586
"175","Czech National Bank",536,2.65614537313433,0.20338530775279,5.03274253731343,0.580311269200003
"700","University of Bielefeld",536,5.57465582835821,0.375860239096704,4.09399253731343,0.261775069956172
"803","University of Hohenheim",533,5.02890373733583,0.346092896866778,5.94146341463415,0.548721266536141
"615","Sustainability Environmental Economics and Dynamics Studies (SEEDS)",529,2.46210976181474,0.144684226704906,4.17754253308129,0.368111766416631
"758","University of Duisburg-Essen",527,2.72610222770399,0.229074137437666,4.28220113851992,0.512262480141325
"536","Queensland University of Technology",525,5.7643833847619,0.31929054616356,6.00622857142857,0.668410479422967
"560","Royal Institute of Technology",522,3.99606101149425,0.204494956298975,6.26091954022988,0.821885928074996
"466","Netherlands Central Bank",518,10.311926015444,0.45459891795715,18.9239961389961,2.00087292831265
"680","University of Alicante",515,5.74313546796117,0.437832668985269,5.75883495145631,0.684962426247638
"42","Autonomous University of Madrid",511,4.79844788062622,0.299420804314568,4.05039138943249,0.488119090022865
"549","Rice University",511,14.7717672113503,0.854609913055808,16.585988258317,2.96591370392606
"747","University of Constance",508,9.83846045275591,0.548697541288819,23.0469291338583,7.98758679500977
"1111","Xiamen University",508,8.08686053149606,0.279256516940027,9.82775590551181,0.714194813064976
"953","University of Quebec in Montreal",504,10.7853951071429,0.521150140568226,7.77093253968254,0.678324034498361
"559","Royal Holloway",503,9.648282972167,0.603362200625558,11.0833996023857,1.74837848987339
"54","Ben Gurion University of the Negev",501,10.5427260718563,0.641134972651148,7.76183632734531,0.642057378967443
"657","Tulane University",498,12.3284377269076,0.681552556293955,12.0659236947791,1.20803226924141
"1048","University of Verona",496,7.81333356854839,0.402381102753352,7.95971774193548,0.831504663081715
"1018","University of the Republic",493,2.85068436916836,0.189956561533159,3.1567139959432,0.34420404040515
"586","Shanghai Jiao Tong University",492,22.3876384227642,1.03854948945594,36.5424796747968,4.21893579979117
"893","University of Nantes",492,3.74409236585366,0.209656570533166,3.38967479674797,0.239933968053183
"696","University of Beira Interior",491,1.57865359266802,0.0884326096510884,2.56794297352342,0.238011907250172
"1024","University of the Witwatersrand",487,2.80382997330595,0.148581348062825,3.75014373716632,0.373210357016983
"387","London Business School (LBS)",486,25.291944117284,0.998493246380086,41.0243827160494,3.68453900480504
"427","Money and Finance Research group (Mo.Fi.R.)",485,1.89493049896907,0.153330790859631,2.20859793814433,0.26341968963993
"766","University of Edinburgh",485,19.1596355731959,1.00408521138188,28.4038969072165,4.46441784109161
"922","University of Otago",484,7.5463739607438,0.389557358748124,7.94026859504132,1.78004859761679
"200","Economic & Public Policy Research",483,9.21719427950311,0.746385730596085,28.3877225672878,6.02069751994994
"674","University of Agriculture Malaysia",481,2.69298895218295,0.148513816059997,6.43022869022869,0.801900704856224
"163","Comsats University Islamabad",480,0.800286772916667,0.0746374950371772,2.05195833333333,0.321850276878962
"804","University of Hong Kong",479,21.5861331148225,0.925118426014605,20.6624217118998,1.95350969430534
